m	652	367	150	150	0	0	12m-15m	100	1	8006
m	179	190	150	150	0	0	12m-15m	100	1	8006
m	820	805	150	150	0	0	12m-15m	100	1	8007
m	264	846	150	150	0	0	12m-15m	100	1	8007
m	169	435	150	150	0	0	12m-15m	100	1	8006
m	498	848	150	150	0	0	12m-15m	100	1	8007
m	584	694	150	150	0	0	12m-15m	100	1	8007

m	169	435	150	150	0	0	12m-15m	100	1	8005
m	498	848	150	150	0	0	12m-15m	100	1	8005
m	584	694	150	150	0	0	12m-15m	100	1	8005

mh	169	435	150	150	0	0	12m-15m	100	1	8005
mh	498	848	150	150	0	0	12m-15m	100	1	8005
mh	652	367	150	150	0	0	12m-15m	100	1	8006
mh	169	435	150	150	0	0	12m-15m	100	1	8006
mh	820	805	150	150	0	0	12m-15m	100	1	8007
mh	584	694	150	150	0	0	12m-15m	100	1	8007

r	412	128	100	100	0	0	3595s	100	1	2002
r	669	139	100	100	0	0	3600s	100	1	2002
r	187	146	100	100	0	0	3605s	100	1	2002
r	484	164	100	100	0	0	3610s	100	1	2002
r	204	166	100	100	0	0	3615s	100	1	2002
r	694	171	100	100	0	0	3620s	100	1	2002
r	355	242	100	100	0	0	3625s	100	1	2002
r	841	406	100	100	0	0	3630s	100	1	2002
r	640	640	100	100	0	0	3635s	100	1	2002
r	301	648	100	100	0	0	3640s	100	1	2002
r	577	713	100	100	0	0	3645s	100	1	2002
r	286	821	100	100	0	0	3650s	100	1	2002
r	541	865	100	100	0	0	3655s	100	1	2002
r	321	889	100	100	0	0	3660s	100	1	2002
r	667	894	100	100	0	0	3665s	100	1	2002

r	530	771	180	70	0	0	1200s	100	3	20602
r	494	192	180	40	0	0	1210s	100	3	20602
r	215	487	40	180	0	0	1220s	100	2	20602
r	756	511	70	180	0	0	1230s	100	2	20602
