30073	1.80
30034	1.26
30035	3.60
30037	1.50
30038	2.50
30085	2.70
30039	3.15
30040	2.70
30075	0.85
30041	0.51
30042	1.35
30055	1.08
30045	2.16
30081	1.08
30046	2.16
30080	2.70
30047	2.70
30077	1.80
30006	1.17
30076	1.80
30007	1.17
30092	2.13
30088	1.80
30048	2.70
30049	2.70
30090	2.16
30050	2.70
30083	1.80
30009	3.60
30079	2.25
30051	2.25
30011	2.16
30089	1.80
30014	3.60
30086	1.26
30015	1.26
30087	1.40
30016	1.40
30017	4.50
30018	1.80
30019	1.35
30022	2.43
30067	1.40
30023	1.50
30078	2.97
30008	1.50
30091	2.70
30004	2.00
30003	1.50
30070	2.00
30069	2.00
30027	2.00
30028	2.00
30030	2.21
30031	0.90
30074	0.68
30032	1.02
30033	0.85
30021	1.70
30005	1.11
30052	1.70
30071	1.50
30010	1.88
30072	1.50
30053	1.88
30056	1.62
30025	2.70
30057	2.70
30059	3.78
30058	2.16
30060	2.70
30061	1.80
30347	0.38
30352	0.72
30355	2.88
30350	1.30
30351	2.00
30349	1.30
30354	1.60
30344	2.34
30345	2.70
30367	0.90
30359	1.35
30343	0.98
