r	152	144	100	100	0	0	3600s	100	1	2006
r	331	275	100	100	0	0	3600s	100	1	2006
r	134	299	100	100	0	0	3600s	100	1	2006
r	75	305	100	100	0	0	3600s	100	1	2006
r	106	371	100	100	0	0	3600s	100	1	2006
r	83	411	100	100	0	0	3600s	100	1	2006

r	290	245	30	30	0	0	18m-22m	100	1	20603
r	388	408	30	30	0	0	18m-22m	100	1	20603
r	134	179	30	30	0	0	18m-22m	100	1	20603
r	161	372	50	50	0	0	18m-22m	100	1	20603

m	259	285	100	100	0	0	15m-20m	100	1	8028
m	259	285	100	100	0	0	15m-20m	100	1	8028
mh	259	285	100	100	0	0	15m-20m	100	1	8028
